page_index,DateIndex,Date,Title,Event (140 words),More Information,photo,Latitude,Longitude,ZoomLevel,kml_file,Theatre,Source
0,,,Welcome,"Enjoy the WWII Explorer App. Click ""Start Exploring"" to begin the journy",,,48.339,11.04,2,"Germany.kml, Japan.kml, Italy.kml, Russia.kml, United_States.kml, United_Kingdom.kml, France.kml",,
1,9/18/1931,September 18 1931,Japan invades Manchuria,"In response to a staged rail line attack, Japan invades north-eastern China as part of a continous struggle between the two contries.",http://www.johndclare.net/EL5.htm,https://upload.wikimedia.org/wikipedia/commons/0/0e/Japanese_troops_entering_Tsitsihar.jpg,46.529702,125.756516,5,"Japan.kml, China.kml, event01.kml",Pacific,"https://en.wikipedia.org/wiki/Adolf_Hitler#/media/File:Bundesarchiv_Bild_146-1972-026-11,_Macht%C3%BCbernahme_Hitlers.jpg"
2,1/30/1933,January 30 1933,Hitler comes to power,"Adolf Hitler appointed as Chancellor of Germany, quickly using this power to gain control of the different branches of the German government.",http://www.biography.com/people/adolf-hitler-9340144,http://www.mrconservative.com/files/2013/05/Adolph-Hitler-500x332.gif,52.435111,13.353141,5,Germany.kml,Europe,
3,4/1/1933,April 1 1933,Jewish persecution in Germany,"Jewish owned shops and businesses are boycotted in Germany, identifying the Jewish people as inferior.",http://www.myjewishlearning.com/article/1933-1939-early-stages-of-persecution/,http://www.yadvashem.org/yv/ru/holocaust/about/chapter_1/images/persecution/01m.jpg,52.435111,13.353141,5,Germany.kml,Europe,
4,10/2/1935,October 2 1935 to May 1936,Italy conquers Ethiopia,"Sparked by a border conflict with Italy controlled Somalia, Fascist Italy invades, conquers, and annexes Ethiopia.",http://www.britannica.com/event/Italo-Ethiopian-War-1935-1936,http://www.adlerkorps.com/campaigns/ethiopia.jpg,9.449257,39.400543,5.3,"Somolia.kml, Ethiopia.kml, event04.kml",Europe,
5,10/25/1936,October 25 to November 1936,Axis Powers Formed,Nazi Germany and Fascist Italy sign a treaty of cooperation. Rome-Berlin Axis is announced,http://www.ushmm.org/wlc/en/article.php?ModuleId=10005177,http://www.ushmm.org/lcmedia/photo/lc/image/80/80504.jpg,46.173898,10.634149,5,"Italy.kml, Germany.kml",Europe,
6,11/1/1936,November 25 1936,Japan joins Axis Powers,"Imperial Japan joins Nazi Germany and Facist Italy, with the common goal of the post-World War I international order and to neutralize the Communist movement.",http://www.ushmm.org/wlc/en/article.php?ModuleId=10005177,http://s3.amazonaws.com/s3.timetoast.com/public/uploads/photos/2616893/axis%20powers.jpg?1337016345,41.513464,69.293513,3,"Italy.kml. Germany.kml, Japan.kml",Pacific,
7,7/7/1937,July 7 1937,Japan invades China,"Known as the second Sino-Japanses war, with fighting that continued through the duration of World War II.",http://www.history.co.uk/study-topics/history-of-ww2/sino-japanese-war,http://www.slidego.com/res/palooza/europe/WW2/54560CC0.jpg,39.849167,116.213056,5,"Japan.kml, China.kml, event07.kml",Pacific,
8,4/7/1939,April 7 to April 15 1939,Italy invades and annexes Albania,"Fascist Italy invades and annexes Albania, in efforts to keep up with Germany's military efforts.",http://www.history.com/this-day-in-history/italy-invades-albania,http://img.lssdjt.com/200905/17/D8152531526.jpg,41.007526,18.781343,6,"Italy.kml, Albania.kml, event08.kml",Europe,
9,9/1/1939,September 1 1939,Germany invades Poland,"German forces bombard Poland, using the blitzkrieg military strategy, seeking to regain lost territory.",http://www.history.com/this-day-in-history/germany-invades-poland,"http://www.dw.com/image/0,,17881034_303,00.jpg",52.081993,14.6968,5.8,"Germany.kml, Poland.kml, event09.kml",Europe,
10,9/3/1939,September 3 1939,Britain and France declared war on Germany,"In response to the invasion on Poland, Great Britain and France declare war on Germany.",http://www.history.com/this-day-in-history/britain-and-france-declare-war-on-germany,https://exolinguist.files.wordpress.com/2014/07/img_2062.jpg,50.559371,6.719978,5,"Germany.kml, United_Kingdom.kml, France.kml",Europe,
11,5/1/1940,May 1940,"Germany invades Denmark, Norway, Holland and Belgium","Germany pushes military efforts through western Europe, invading Denmark, Norway, Holland (Netherlands), and Belgium.",http://www.ushmm.org/wlc/en/article.php?ModuleId=10005181,http://historyconflicts.com/wp-content/uploads/2015/04/invaded-poland-by-germans-soviet-union.png,49.40805,6.192085,5.5,"Germany.kml, Denmark.kml, Norway.kml, Belgium.kml, Netherlands.kml, event11.kml",Europe,
12,5/27/1940,May 27 1940,Miracle of Dunkirk,"British forces are pushed to the shores of Dunkirk, northern France. Over 338,000 Allied soldiers were evacuated in eight days.",http://www.eyewitnesstohistory.com/dunkirk.htm,http://silverqueencruises.com/wp-content/uploads/2011/05/dunkirk-evacuation.jpg,51.0169831,2.2730446,8,France.kml,Europe,
13,6/22/1940,June 22 1940,"Germany takes Paris, France","Having defeated Poland, Germany invades France in six weeks. Germany is now unmatched on mainland Europe.",http://www.eyewitnesstohistory.com/hitlerparis.htm,http://f.tqn.com/y/militaryhistory/1/W/o/Y/-/-/hitler-paris-large.jpg,48.85895,2.2775167,6.3,France.kml,Europe,
14,7/10/1940,July 10 to October 31 1940,Battle of Britian,"Germany battles British forces for air superiority, bombing military and civillian targets. Britian maintains air superiority, preventing a land invasion.",http://www.history.com/topics/world-war-ii/battle-of-britain,http://www.anglican.ca/wp-content/uploads/2010/08/BoB-23.jpg,51.499803,-0.043045,5.5,"United_Kingdom.kml, Germany.kml, event14.kml",Europe,
15,10/28/1940,October 28 1940,Italy invades Greece,"Italy invades Greece from Albania. This uncoordinated attack proves to weaken the Italian forces, as they should have been focused on another front.",http://www.history.com/this-day-in-history/italy-invades-greece,http://images.rarenewspapers.com/ebayimgs/11.15.2013/image048.jpg,40.271312,20.826915,5.7,"Italy.kml, Albania.kml, Greece.kml, event15.kml",Europe,
16,12/1/1940,December 1940,Italians defeated in North Africa,British reinforcements in North Africa stop the Italian forces from progressing further into Africa.,http://www.historynet.com/world-war-ii-north-africa-campaign.htm,https://upload.wikimedia.org/wikipedia/commons/f/f3/Italian_soldiers_taken_prisoner_during_Operation_Compass.jpg,31.746325,24.954654,4.9,"Libya.kml, Egypt.kml, Italy.kml",Europe,
